,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E150  P E S Institute of Technology and Management  Shivamogga,IE Info.Science,33713,--,--,34904,46655,37154,36255,--,60079,37195,74299,--,32468,--,--,31174,43199,33607,69831,--,113555,59032,--,61456
E150  P E S Institute of Technology and Management  Shivamogga,ME Mechanical,--,--,--,163932,--,--,156662,--,--,198897,--,--,168085,212252,--,151415,--,188915,249504,--,--,272045,--,--
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",AE Aeronaut.Engg,54502,--,--,65306,--,101676,73074,--,--,56168,132101,--,56550,--,--,53614,79102,65121,92259,--,124352,73214,--,--
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",AI ArtificialIntelligence,31788,--,54087,33364,--,43266,29635,--,--,32010,--,36759,30500,42726,--,28265,--,33503,104433,--,134358,85238,--,--
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K","CA CS (AI, MachineLearning)",44034,44143,53719,34956,--,35911,31075,--,58680,37214,--,--,31886,--,--,29833,41989,34212,96850,--,146347,67362,--,88229
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",CS Computers,23471,--,30570,26110,27967,27709,27654,--,35586,25498,--,29151,22262,--,23835,21060,23625,23270,87411,95696,95573,36104,92304,83069
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",EC Electronics,50979,163195,--,51472,--,51898,46518,--,84693,47406,94818,56035,50390,--,53821,45560,49141,50535,127851,161688,136444,71330,--,221195
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K","IC CS-IoT, CyberSecurity",52912,--,60400,37636,--,56326,36436,81187,53020,43163,--,--,37522,--,--,35616,51363,35804,143581,181919,--,70669,--,--
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",IE Info.Science,31098,--,--,29995,31782,31685,32906,--,--,28728,--,40862,28670,--,32492,27723,29633,28433,94065,204641,103404,175228,--,239692
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",ME Mechanical,162329,--,--,174483,--,--,150421,--,--,198126,--,--,164446,--,--,104619,158269,153960,274599,--,--,--,--,--
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",MT Mechatronics,140363,--,--,128554,--,128824,129750,--,--,118033,--,--,106475,--,--,97065,161642,120433,261460,--,--,274565,--,--
"E151  Mangalore Institute of Technology and Engineering  Mangalore Tq,D.K",RI Robotics and AI,69774,91497,70481,76125,--,--,68749,--,--,72645,--,72844,71090,--,--,64717,--,66097,227194,--,--,116687,--,--
"E152  S D M Institute of Tech.  Ujire,Dakshina Kannada","AD ArtificialIntel, Data Sc",64274,--,86887,50424,--,53026,61456,154464,134564,51188,77172,--,50113,--,50608,46104,51701,50402,92382,--,186581,84926,--,86560
"E152  S D M Institute of Tech.  Ujire,Dakshina Kannada",CE Civil,--,--,228610,192130,--,--,269857,--,--,--,--,--,--,--,--,168294,--,--,245132,--,--,224038,--,--
"E152  S D M Institute of Tech.  Ujire,Dakshina Kannada",CS Computers,34953,--,--,37844,39033,38634,43909,--,--,34034,--,--,34241,--,34828,32238,32595,33012,68220,84645,82101,45260,--,106242
"E152  S D M Institute of Tech.  Ujire,Dakshina Kannada",EC Electronics,57307,95951,90279,65246,71978,67814,82494,--,104941,60631,--,66733,57600,--,82113,54971,62375,62723,137118,267072,156818,70553,--,183458
"E152  S D M Institute of Tech.  Ujire,Dakshina Kannada",EE Electrical,126702,--,--,96488,--,--,142474,--,--,--,--,103894,--,--,--,83836,138350,89257,109711,--,--,111663,--,--
"E152  S D M Institute of Tech.  Ujire,Dakshina Kannada",IE Info.Science,40887,--,58186,40921,51688,79516,47070,--,59049,42498,73102,46472,40691,--,55583,40235,44067,40488,108380,--,182323,76467,--,--
E153  S E A College of Engineering and Technology  K R puram bangalore,"AD ArtificialIntel, Data Sc",89317,--,--,65623,--,96851,89904,--,--,66231,--,75895,80491,--,--,65090,83661,70146,117197,--,170099,147324,--,--
E153  S E A College of Engineering and Technology  K R puram bangalore,AI ArtificialIntelligence,72034,--,--,69209,124995,90333,73511,--,--,65205,--,88735,65228,--,--,64518,73857,70334,133651,164259,155476,152726,--,139355
E153  S E A College of Engineering and Technology  K R puram bangalore,CE Civil,--,--,--,172317,--,--,--,--,--,--,--,--,194849,--,--,156801,--,195441,226391,--,--,--,--,--
E153  S E A College of Engineering and Technology  K R puram bangalore,CS Computers,56972,--,69627,60043,75802,68215,56557,--,--,52823,--,--,54466,--,61626,52739,57477,60829,90596,122954,106846,67995,--,146513
E153  S E A College of Engineering and Technology  K R puram bangalore,EA AgricultureEngineering,98533,--,--,86038,--,--,--,--,--,--,--,118635,105782,99407,--,72996,121942,93633,104156,--,--,133895,210558,--
E153  S E A College of Engineering and Technology  K R puram bangalore,EC Electronics,81118,--,--,78301,--,95998,79815,--,109595,73540,--,124990,73946,82048,108993,72505,73408,73682,131168,--,170126,169655,--,--
E153  S E A College of Engineering and Technology  K R puram bangalore,"IC CS-IoT, CyberSecurity",88627,--,--,92478,--,106152,81821,--,--,81946,--,--,80227,--,--,77720,115750,96518,152798,--,174847,97996,--,--
E153  S E A College of Engineering and Technology  K R puram bangalore,IE Info.Science,67805,--,--,67047,97330,72919,67364,--,--,64197,--,--,64648,--,--,63419,72305,67468,103066,--,151600,184190,--,266684
E153  S E A College of Engineering and Technology  K R puram bangalore,ME Mechanical,--,--,--,176772,--,--,--,--,--,--,--,--,--,--,--,123241,--,181463,220675,--,--,--,--,--
E154  Government Engineering College  Chamarajanagara,CE Civil,85340,--,96137,96310,153441,102280,96030,--,--,77660,--,--,80399,--,95102,71805,78936,86060,84334,99232,96787,83871,123321,117604
E154  Government Engineering College  Chamarajanagara,CS Computers,35043,--,69741,34424,36276,37524,48836,--,62461,28464,75683,56948,32097,49825,36758,27468,27678,36228,40871,69810,48435,36405,--,70843
E154  Government Engineering College  Chamarajanagara,EC Electronics,56596,--,76054,61096,63125,68247,59002,--,--,52530,--,57495,56289,74857,--,47460,50827,56110,58670,62340,63707,50429,--,67999
E154  Government Engineering College  Chamarajanagara,ME Mechanical,106374,--,--,135442,187317,143712,105690,--,--,102926,--,190326,110629,138934,--,102092,102509,106631,124998,205067,132810,113814,170421,--
E155  Government Engineering College  Hassan,AI ArtificialIntelligence,70684,--,--,49172,--,50216,44874,--,--,43817,48476,--,46415,--,--,37788,40635,45543,76971,--,100328,64319,--,73776
E155  Government Engineering College  Hassan,CE Civil,81681,135547,81832,82498,--,86243,82840,158652,158123,59182,--,143653,74522,--,77791,55609,74616,71317,69887,100826,75439,69319,--,180749
E155  Government Engineering College  Hassan,CS Computers,26699,--,54301,24626,27637,27030,26179,--,33106,21894,--,25803,23588,--,26388,20808,23729,22738,35206,49581,36133,21083,75370,75648
E155  Government Engineering College  Hassan,EC Electronics,47325,--,58122,34086,47202,35214,35852,--,--,30862,--,40941,31403,44351,54991,29693,36876,33503,46685,106634,51571,32021,--,42887
E155  Government Engineering College  Hassan,ME Mechanical,92990,--,198138,99005,110039,116448,107089,--,--,82371,--,--,95744,163767,166376,80713,81243,89142,105991,110688,138322,99151,--,236949
"E156  Government Engineering College  K R Pet, Mandya DT.",CE Civil,86832,164631,95457,105481,162647,109859,100736,--,--,92078,--,168694,89945,--,103743,82521,86090,90906,94418,104007,108890,103469,--,157681
"E156  Government Engineering College  K R Pet, Mandya DT.",CS Computers,43065,--,75247,38243,42086,39964,50670,--,50880,32180,48561,43189,32833,--,39490,31556,32963,34007,43956,69240,45851,35727,--,81134
"E156  Government Engineering College  K R Pet, Mandya DT.",EC Electronics,55382,--,63782,53825,87616,59435,70952,--,--,49589,--,53311,51393,53068,71564,47840,50301,52499,63055,118205,77747,70155,156814,77835
"E156  Government Engineering College  K R Pet, Mandya DT.",ME Mechanical,119557,--,--,144149,152933,167527,110247,--,--,108251,--,--,113465,--,187704,107597,108497,121891,132290,133928,146146,114453,--,266667
E157  Government Engineering College  Ramanagara,CE Civil,104919,--,131143,111766,171687,127890,110568,--,227152,105006,--,171038,103784,--,109353,94578,104463,100854,105134,109657,108527,104433,--,--
E157  Government Engineering College  Ramanagara,CS Computers,42094,--,--,43687,46377,45629,48891,--,63031,36520,56358,55068,37211,75042,42496,34958,36397,36963,45877,69440,49686,36659,--,96677
E157  Government Engineering College  Ramanagara,EC Electronics,62955,--,--,59985,89217,73059,79400,--,139750,53333,--,60886,56772,68747,78131,52986,56345,57250,68754,117127,69203,62092,127415,71960
E157  Government Engineering College  Ramanagara,"MM Mechanical,Smart Manf.",162769,--,223248,174621,--,265060,119225,--,--,113741,--,--,120971,--,206924,113630,122101,122825,150193,159570,157273,141545,--,--
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist","CA CS (AI, MachineLearning)",44659,--,--,37525,--,51395,39377,--,--,36039,--,--,35507,74381,--,35452,48142,39051,86910,--,107837,80086,--,--
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",CB Comp. Sc. andBus Sys.,58667,--,120563,54769,--,62893,51285,--,147856,48222,59849,--,48702,--,--,47859,109517,53996,86972,--,158165,60952,--,--
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",CE Civil,130012,--,--,157773,--,177879,146469,--,--,108397,--,--,98179,--,171730,96505,103078,115850,110236,252946,167507,125833,--,212696
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",CF CS(ArtificialIntel.),46011,--,59844,41369,82971,59101,38191,--,80046,36291,--,55865,37391,--,--,35391,43373,46273,82302,120573,--,92731,--,--
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",CO ComputerEngineering,65239,--,--,71250,--,94898,69055,--,--,63842,68769,--,69627,127399,--,63512,--,77752,163538,--,186537,98192,--,--
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",CS Computers,26939,--,--,29365,38898,31743,27137,69414,45957,24524,--,30177,24935,--,30532,24243,34298,28240,52121,55620,59347,32729,--,93154
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",DS Comp. Sc. Engg-Data Sc.,49222,--,72133,43582,--,57618,44065,101860,--,41201,--,--,43371,69898,--,41099,--,47538,89182,--,145908,110581,--,--
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",EC Electronics,42080,--,--,43102,46639,47916,38074,--,102251,38506,--,46485,39012,--,55791,36531,39562,42510,79730,--,91435,40916,--,73874
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist","IC CS-IoT, CyberSecurity",75660,164822,--,63627,--,75211,65651,--,--,58059,--,67069,60674,--,--,57788,--,62252,162480,--,179321,132067,--,--
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",IE Info.Science,37236,--,55227,37122,55671,44408,36070,--,--,32503,--,50850,32982,66477,35766,32213,38064,34945,67193,84981,104019,34864,--,120447
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",ME Mechanical,146460,--,--,122123,--,--,132271,--,--,114139,--,154601,117657,--,--,109342,117673,110897,168584,202072,--,130175,267853,--
"E158  Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist",MK Mechanical Engg(Kannada),--,--,--,233215,--,--,--,--,--,--,--,--,--,--,--,197677,200355,205364,238099,--,--,212740,--,--
E159  Karavali Institute of Technology  Mangalore,AE Aeronaut.Engg,118583,--,133656,116964,--,129286,112703,131456,--,113333,--,--,110791,--,--,100950,112814,106789,152065,169728,199689,124552,--,154697
E159  Karavali Institute of Technology  Mangalore,AI ArtificialIntelligence,100209,--,--,93606,121344,106138,88804,--,--,91853,103008,--,85503,--,--,84443,103969,90198,157998,--,196162,96352,--,--
E159  Karavali Institute of Technology  Mangalore,CS Computers,77161,90380,--,80792,80832,81288,82842,--,108505,75887,--,--,74564,--,78164,73338,73586,75604,118331,173763,129187,81041,--,154676
E159  Karavali Institute of Technology  Mangalore,DS Comp. Sc. Engg-Data Sc.,96712,--,--,111838,--,125592,105400,--,124111,102366,--,--,96635,--,--,95773,99374,98437,185844,--,207537,187660,--,--
E159  Karavali Institute of Technology  Mangalore,EC Electronics,98278,154302,139082,91775,103962,--,101874,--,--,94945,--,110156,91041,--,--,88439,--,89418,157771,--,--,143705,--,--
E159  Karavali Institute of Technology  Mangalore,ME Mechanical,--,--,--,258910,--,--,--,--,--,--,--,--,226670,--,--,223656,--,249833,272806,--,--,--,--,--
E160  Sahyadri College of Engg. and Management  Mangalore,"CA CS (AI, MachineLearning)",22627,--,--,26815,29440,30892,23105,--,--,23301,--,--,21945,--,25948,21890,24255,25365,120416,196608,122429,47031,--,56925
E160  Sahyadri College of Engg. and Management  Mangalore,CS Computers,15154,--,18127,17806,21210,19157,19585,--,25035,12537,15264,18878,14614,--,18871,12052,13549,16016,60055,68623,69569,19522,37535,46228
E160  Sahyadri College of Engg. and Management  Mangalore,EC Electronics,31590,77093,49725,34476,--,36808,36091,--,54977,30724,50739,33344,30575,41900,--,29486,31740,32110,108968,--,115056,35082,--,101393
E160  Sahyadri College of Engg. and Management  Mangalore,IE Info.Science,19953,33765,22472,21709,--,22150,19860,36047,31216,23346,34711,24129,20218,42330,22344,19347,19820,20255,81359,--,86796,30905,--,--
E160  Sahyadri College of Engg. and Management  Mangalore,ME Mechanical,151990,184240,--,120294,--,123361,128104,--,--,117463,--,--,125578,--,--,93375,127592,95372,157437,--,--,129494,--,--
E160  Sahyadri College of Engg. and Management  Mangalore,RA Robotics andAutomation,75490,--,--,61180,--,68597,57658,146617,158956,66699,--,67360,57262,--,--,46746,61009,61179,166913,--,--,106936,--,--
"E161  Government Engineering College  Kushalnagar,Kodagu Dist",CE Civil,120210,--,131446,120868,--,144803,143501,--,--,103170,--,187830,110527,181113,116500,98846,106506,105676,107580,117099,111944,105592,--,--
"E161  Government Engineering College  Kushalnagar,Kodagu Dist",CS Computers,48017,--,--,47316,49099,48103,50756,--,78649,42201,55592,53787,42443,--,42920,40175,40488,42774,51856,75174,52247,40394,--,88353
"E161  Government Engineering College  Kushalnagar,Kodagu Dist",EC Electronics,69529,--,81058,68680,73323,69337,78269,110804,137117,64086,--,66919,63979,--,--,61502,61833,66140,84193,99541,96769,76461,--,78725
"E161  Government Engineering College  Kushalnagar,Kodagu Dist",ME Mechanical,150615,--,272505,179955,--,220451,136455,--,--,129847,--,--,135641,147843,204344,129453,130711,139991,154132,248104,169643,159495,265599,274514
E162  Government Engineering College  Raichur,CE Civil,89425,--,--,72186,190164,98962,104281,--,--,138257,--,--,150148,--,--,65723,68579,82586,88705,194279,171715,80966,--,--
E162  Government Engineering College  Raichur,CS Computers,44105,--,--,38534,--,68885,--,--,--,38674,--,--,24983,--,--,23925,39029,28091,36506,69524,76932,38500,--,52178
E162  Government Engineering College  Raichur,EC Electronics,79025,--,--,70228,70498,--,85609,--,94198,104575,--,97910,58716,105023,73736,53175,73910,61566,70950,--,--,62169,--,142965
E162  Government Engineering College  Raichur,ME Mechanical,156622,219886,--,170796,--,--,161528,--,--,156238,--,169355,126222,--,--,121094,--,123699,158668,--,168920,239070,--,168760
"E163  Government Engineering College  Devagiri,Haveri",CE Civil,86515,172539,105001,88446,--,90296,125861,--,224745,114366,--,--,78172,--,85395,67651,76973,80975,83862,92269,99636,79692,154073,155704
"E163  Government Engineering College  Devagiri,Haveri",CS Computers,39649,--,--,43271,44350,45133,45834,--,50994,38993,75919,60337,36586,54404,37429,33344,34149,36517,52494,76987,53922,33898,--,84017
"E163  Government Engineering College  Devagiri,Haveri",EC Electronics,57490,--,80573,62223,70649,71545,67703,115154,78135,56942,--,87627,56136,--,71204,50826,51918,53779,74775,77753,81059,63687,142110,78994
"E163  Government Engineering College  Devagiri,Haveri",ME Mechanical,162173,--,--,165062,235588,254388,146387,--,--,151545,--,--,118178,121686,243050,115840,116700,123258,170713,258994,172820,119561,--,245084
"E164  Government Engineering College  Huvina Hadagali,Bellary Dist.",CE Civil,96839,--,--,103194,--,133765,86923,--,--,113775,--,--,168391,--,--,82591,86727,91650,93767,234007,--,87508,--,204943
"E164  Government Engineering College  Huvina Hadagali,Bellary Dist.",CS Computers,45157,--,--,45265,--,60483,55955,--,--,50719,--,--,42469,59067,65349,38702,--,42135,60668,64823,109770,79990,--,68148
"E164  Government Engineering College  Huvina Hadagali,Bellary Dist.",EC Electronics,--,--,--,67746,89935,87742,83438,--,133179,86382,--,87450,61590,--,--,61048,80540,67792,88451,--,125878,75338,--,--
"E164  Government Engineering College  Huvina Hadagali,Bellary Dist.",ME Mechanical,177179,--,--,173363,--,--,170778,--,--,180952,--,--,175393,--,245954,168913,169425,172799,182521,--,--,211098,247243,--
"E165  Yenepoya Institute of Technology  Thodar,Moodbidri",AI ArtificialIntelligence,89147,--,--,74819,--,103431,71133,--,--,69501,--,--,72947,--,--,69177,81685,74988,153890,--,237049,104750,154911,--
"E165  Yenepoya Institute of Technology  Thodar,Moodbidri",CS Computers,56889,--,--,54720,108701,63837,51894,--,60428,53152,--,--,49144,--,60370,45119,59482,48624,117941,146037,134410,61574,--,133174
"E165  Yenepoya Institute of Technology  Thodar,Moodbidri",DS Comp. Sc. Engg-Data Sc.,114970,--,--,116661,--,--,102157,--,--,--,--,111490,104120,--,--,100475,111592,106821,192042,255620,--,206151,--,235879
"E165  Yenepoya Institute of Technology  Thodar,Moodbidri",EC Electronics,85407,--,91243,89788,94267,94750,78074,128571,--,83490,--,97427,81878,--,--,74365,94042,80689,138592,238972,240758,86677,--,--
"E165  Yenepoya Institute of Technology  Thodar,Moodbidri",EE Electrical,137490,--,--,128016,--,146705,137598,--,192729,127316,159233,155749,131585,--,--,118450,124894,129052,154461,--,--,148640,--,168603
"E165  Yenepoya Institute of Technology  Thodar,Moodbidri","IC CS-IoT, CyberSecurity",115362,--,--,101462,--,127310,97147,--,111465,98844,--,--,98921,--,132726,95659,99805,96922,177986,--,247116,110474,--,--
"E165  Yenepoya Institute of Technology  Thodar,Moodbidri",IE Info.Science,78997,--,96936,73569,--,74615,65504,142602,69146,64985,--,83882,63438,104469,69469,62121,72139,65285,138507,--,144131,86574,--,--
"E165  Yenepoya Institute of Technology  Thodar,Moodbidri",ME Mechanical,--,--,--,230910,--,--,--,--,--,--,--,--,189627,--,--,179151,--,222306,--,--,--,--,--,--
E166  K L E Institute of Technology  Hubli,CE Civil,84492,--,252284,82761,--,121760,82979,--,--,72489,--,--,72497,133452,--,64802,96985,100604,94753,106722,168939,77001,207868,--
E166  K L E Institute of Technology  Hubli,CS Computers,20199,--,24274,17189,21439,21285,16702,--,--,17667,--,--,15410,--,20238,13960,17005,18785,46057,49297,46362,23839,--,33460
E166  K L E Institute of Technology  Hubli,EC Electronics,22162,--,39813,24771,30895,30930,23514,45220,39249,26374,--,32940,23214,--,30957,22119,29047,29546,62505,97606,85905,32534,--,122509
E166  K L E Institute of Technology  Hubli,EE Electrical,44119,--,--,41073,--,59067,45137,--,150034,49076,90839,--,34803,48058,--,34591,46533,53203,88290,--,124160,120155,--,--
E166  K L E Institute of Technology  Hubli,ME Mechanical,118730,260199,151908,124928,--,--,120953,--,--,113553,--,232202,101029,149475,--,96581,--,116740,142383,--,--,148075,--,--
"E167  K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist.","AD ArtificialIntel, Data Sc",60819,--,--,56166,--,73494,59325,--,--,52087,--,95572,45192,--,--,42769,45675,55904,114534,--,136423,114499,--,--
"E167  K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist.",CE Civil,140637,--,--,148429,180496,207490,131195,--,--,150706,--,--,128169,--,--,115407,138630,138218,142678,175189,169935,135744,--,--
"E167  K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist.",CS Computers,43090,--,--,36065,42848,37556,32551,--,44561,36919,--,--,29726,--,30975,28819,29056,29921,79206,85974,83451,39177,--,82490
"E167  K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist.",EC Electronics,44381,156399,112872,48426,--,49627,44646,111960,61958,57242,47559,69043,41276,--,--,39724,53360,43949,84423,152770,99297,80231,100706,99333
"E167  K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist.",ME Mechanical,171336,--,--,159234,--,235490,232019,--,--,197804,--,--,144398,--,--,137960,--,162950,222941,--,--,251071,--,--
"E168  Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore",AI ArtificialIntelligence,101443,146047,--,97541,--,114157,110416,--,--,--,--,--,87559,--,--,81809,--,93201,187099,--,226264,189730,--,--
"E168  Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore",CE Civil,--,--,--,208141,--,--,--,--,--,183696,--,--,--,--,--,154987,--,197370,229161,--,--,--,--,--
"E168  Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore",CS Computers,59178,--,--,60509,107953,67283,56355,--,--,50745,--,--,49597,--,67695,46826,61874,53124,89646,142643,140142,132013,--,75935
"E168  Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore",EC Electronics,89441,109023,--,80086,106267,89292,89357,--,--,80577,--,--,80453,--,--,75964,88756,81350,120238,259785,153286,98427,--,--
"E168  Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore",IE Info.Science,73285,--,96349,77252,93108,--,84487,--,--,70454,--,--,69429,--,--,68227,85681,69860,143263,--,199236,143364,--,--
"E168  Amrutha Institute of Engineering and Mangement  Bidadi Indust. Estate,Ban'lore",ME Mechanical,--,--,--,202128,--,--,--,--,--,--,--,234174,194970,--,--,180632,--,193277,235742,--,--,--,--,--
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",AI ArtificialIntelligence,50445,--,--,59201,82511,61332,63859,--,77296,47190,--,--,50330,61483,73318,46333,54385,49237,107165,249085,189455,75763,--,169593
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",CD Computer Sc.and Design,79151,171965,--,69652,90674,70517,62949,--,122448,63199,--,--,62372,--,--,62096,83986,66732,134246,--,146098,83475,--,176172
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",CE Civil,189281,--,--,204795,--,--,--,--,--,168610,--,--,167938,--,--,109844,174171,173217,232315,249466,237403,224282,--,--
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",CS Computers,43875,--,52671,40364,44895,42387,41368,--,--,36782,--,41484,36631,--,43109,34216,36283,37385,90593,97648,102238,48673,153010,112977
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",DS Comp. Sc. Engg-Data Sc.,59656,--,64764,58787,--,78482,53901,131034,--,52795,--,59501,55246,--,--,49836,56112,50421,113647,--,219747,64487,--,--
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",EA AgricultureEngineering,99471,102001,108163,74521,--,120801,77692,--,--,77718,--,150252,86197,119744,94737,59181,75973,78630,101703,--,162584,78964,--,199577
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",EC Electronics,66702,--,150385,67500,94903,68130,59775,--,67495,59657,67443,--,58944,72754,66409,58056,58756,65469,128970,182814,149021,61424,--,143247
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,","IC CS-IoT, CyberSecurity",78477,121329,101316,78899,--,--,106473,--,153425,82301,--,108340,78174,--,--,73260,--,76622,192014,--,--,252796,--,--
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",IE Info.Science,51576,157444,--,46164,--,47979,45515,--,--,43920,--,53532,45607,60826,--,43689,46173,45399,110540,--,126687,62590,--,--
"E169  Alva`s Institute of Engineering and Technology  Moodabidri,",ME Mechanical,--,--,--,177267,--,191196,191037,--,--,--,252301,--,164542,--,--,146158,--,166051,263616,--,--,--,--,--
"E171  Brindavan College of Engineering  Yelahanka, Bangalore",AI ArtificialIntelligence,71124,--,--,67553,--,86741,62217,--,--,61735,--,--,60993,--,--,60344,81142,68030,119223,159927,156076,76909,--,207638
"E171  Brindavan College of Engineering  Yelahanka, Bangalore",CE Civil,210165,--,--,151520,--,--,--,--,--,--,--,215243,--,--,--,132487,--,205501,201769,--,--,254813,--,--
"E171  Brindavan College of Engineering  Yelahanka, Bangalore",CS Computers,51481,--,69148,51516,60115,53461,49110,--,--,47853,--,--,50467,58105,57901,46347,47099,53256,100272,118397,119953,67783,--,149896
"E171  Brindavan College of Engineering  Yelahanka, Bangalore",EC Electronics,72018,--,93655,79844,--,90244,83101,102336,--,70830,--,--,72146,--,82542,70256,79374,75641,135506,197478,244399,87725,--,96418
"E171  Brindavan College of Engineering  Yelahanka, Bangalore","IC CS-IoT, CyberSecurity",88670,--,--,84419,121153,94325,85110,--,188252,81406,--,--,82332,--,--,81070,98507,84679,157567,--,--,158084,--,--
"E171  Brindavan College of Engineering  Yelahanka, Bangalore",IE Info.Science,59257,--,--,58845,--,69576,58387,--,--,57808,--,--,56366,91099,--,56300,74358,59848,118327,--,140914,76513,--,--
"E171  Brindavan College of Engineering  Yelahanka, Bangalore",ME Mechanical,--,--,--,140197,--,--,--,--,--,146741,--,--,--,--,--,132718,--,172224,193666,--,--,--,--,--
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",CE Civil,--,--,242127,227982,--,235270,207899,--,--,187264,--,--,206990,--,--,172731,203085,221674,227931,--,270028,241217,--,--
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",CG ComputerScience and Tech,83850,--,--,91504,--,102333,110772,--,--,83082,--,--,75255,--,--,75217,89454,84710,180502,--,240123,143400,--,--
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",CS Computers,45338,--,89904,46536,57125,59479,42809,--,93436,41801,--,65166,43594,--,54382,41754,57030,50043,92874,138229,95949,56575,--,64076
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",EC Electronics,79512,117344,--,72106,--,78239,79621,--,108716,65828,--,79413,66018,66314,81921,64803,73567,67546,134369,208456,148169,96541,--,136685
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",EE Electrical,111987,--,158215,97396,131872,118352,119196,--,--,96468,--,--,91704,129877,--,90952,100086,101325,154316,--,256249,137737,--,--
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",EZ ELECTRONICS ANDCOMPUT,104306,--,--,114998,--,125404,113213,--,--,97597,--,--,98182,--,--,96217,129073,115498,202575,--,229120,215944,--,--
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore","IC CS-IoT, CyberSecurity",102449,--,--,99109,--,--,96720,--,120191,85237,--,--,88899,--,--,82855,104253,86531,202850,--,--,221381,--,--
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",IE Info.Science,54663,--,--,58004,97228,69145,61006,--,--,52743,--,--,52445,83404,--,51979,--,56175,113749,--,150843,173082,--,--
"E172  R.R.Institute of Technology  Chikkabanavara, Bangalore",ME Mechanical,214121,--,--,207893,--,231039,--,--,--,178830,--,--,177689,--,224578,168330,242981,195997,254286,267936,--,243767,--,--
E173  Sai Vidya Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",56132,--,57778,36772,83111,61687,51155,--,114202,36908,92793,--,42300,100624,58094,31801,65620,52359,121675,241591,154361,68770,--,--
E173  Sai Vidya Institute of Technology  Bangalore,CE Civil,--,--,--,168984,--,--,--,--,--,154769,172292,--,--,--,--,149379,--,153059,222987,--,269602,--,--,--
E173  Sai Vidya Institute of Technology  Bangalore,CS Computers,25027,--,44132,24291,43973,30145,42099,--,--,21001,--,29161,21943,37937,38578,20145,27358,27444,63341,92355,82117,61368,--,105766
