,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E004  Dr. Ambedkar Institute Of Technology  Bangalore,ET Elec.Telecommn. Engg.,41390,--,79971,45178,71037,50577,46334,--,96592,31451,47659,--,34572,65834,--,30910,38949,35761,74924,--,82101,35828,--,103615
E004  Dr. Ambedkar Institute Of Technology  Bangalore,IM Ind. Engg.Mgmt.,53209,--,--,55510,--,83350,45619,--,--,48044,--,--,56689,--,--,43229,59331,75454,72352,--,96281,105661,--,--
E004  Dr. Ambedkar Institute Of Technology  Bangalore,ME Mechanical,94716,--,122309,84124,103820,104183,90192,--,120218,69822,--,100069,72607,117827,102186,62928,92410,97323,104533,110360,118374,72501,161927,229179
E005  R. V. College of Engineering  Bangalore,AI ArtificialIntelligence,874,--,--,628,4303,2190,650,--,--,575,--,--,1051,--,2161,209,1408,517,3455,--,8429,2133,--,22763
E005  R. V. College of Engineering  Bangalore,BT Bio Technology,6349,29211,67846,6753,23528,32662,7220,--,--,4832,--,--,4600,--,--,2503,24887,9268,11547,--,61454,6140,--,29891
E005  R. V. College of Engineering  Bangalore,"CA CS (AI, MachineLearning)",1387,--,--,1348,--,1802,2133,--,--,716,--,--,1098,--,1780,530,2072,1344,8163,9060,9040,10999,--,12387
E005  R. V. College of Engineering  Bangalore,CE Civil,13213,--,30522,14615,19527,25425,12999,--,53493,11184,--,--,11752,38667,20273,10651,18520,18090,23206,--,34391,16238,--,--
E005  R. V. College of Engineering  Bangalore,CH Chemical,14432,43342,--,9171,--,--,30330,--,43596,12855,80641,32880,6400,--,--,3079,30808,11246,18404,58887,--,16479,--,57361
E005  R. V. College of Engineering  Bangalore,CS Computers,408,--,1226,365,895,773,400,--,1749,201,--,633,275,--,321,93,423,264,1292,4849,3298,969,6320,7087
E005  R. V. College of Engineering  Bangalore,CY CS- CyberSecurity,1067,--,--,1806,--,1814,2156,18303,--,1177,5075,--,958,--,--,368,--,1308,5329,--,13841,3334,--,15664
E005  R. V. College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,1566,--,--,1089,--,2016,2077,--,--,567,--,1778,832,--,--,287,1300,700,6285,30937,13385,3427,--,--
E005  R. V. College of Engineering  Bangalore,EC Electronics,1641,--,6272,2067,2429,2960,2858,--,6095,989,--,2367,1285,--,2546,440,1453,2232,6781,20724,7744,4507,56231,9056
E005  R. V. College of Engineering  Bangalore,EE Electrical,7477,--,6341,2652,--,4031,3747,--,34415,3063,--,7154,2175,7923,--,1028,6890,2598,6979,31318,9123,10385,--,--
E005  R. V. College of Engineering  Bangalore,EI Elec. Inst.Engg,11275,--,--,10175,--,17226,10990,--,55977,5740,--,20348,5263,--,--,2188,32168,7848,30539,--,73202,69554,57930,--
E005  R. V. College of Engineering  Bangalore,ET Elec.Telecommn. Engg.,5309,--,18144,5769,--,11030,5585,--,--,3938,29054,--,4035,--,--,1240,13954,6284,18847,--,36070,28258,33406,--
E005  R. V. College of Engineering  Bangalore,IE Info.Science,593,--,--,495,4284,1612,449,6949,--,362,--,--,333,--,976,158,769,353,3766,17565,5022,3277,--,11075
E005  R. V. College of Engineering  Bangalore,IM Ind. Engg.Mgmt.,16653,--,--,22149,--,33510,18292,--,--,15870,--,37648,22611,--,--,9196,28983,26786,41865,--,96205,74755,--,--
